hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,urls/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,urls/1,mentions/1,mentions/2,urls/2
NBA,,-2041065472,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/1OiAWR2UG3,sportsviewla,https://pbs.twimg.com/profile_images/952188571099844608/CVmqAG1w_normal.jpg,2,sportsviewla,,Sat Jan 13 14:34:46 +0000 2018,,,941084673,20,0,https://twitter.com/i/web/status/971221854546546688,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-1722363904,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/cwEdy1tWVb,@Miparley,https://pbs.twimg.com/profile_images/674044794579079169/pPPMFxii_normal.jpg,1285,myparley,#Futbol #NBA #MBL #Tenis #Formula1 #Ciclismo #Basquet #Boxeo,Mon Nov 23 03:39:20 +0000 2015,,,-40574149,327,0,https://twitter.com/i/web/status/971221833390411776,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,580255744,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/aenC6bzQ6K,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971221805628260352,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,-346599424,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/hdVs0sI1L3,Sports Bet Parley,https://pbs.twimg.com/profile_images/963423088665866240/--LXAAmM_normal.jpg,5971,sportsbetparlay,#Tv En Vivo #NBA #EuropaLeague 📺 Television por Internet #EnVivo #LigaMX #F1 #MLB #ChampionsLeague,Sun Aug 16 22:48:10 +0000 2015,12.6886,-59.805666,-868119457,4048,0,https://twitter.com/i/web/status/971221370909708288,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
NBA,,47579137,#NBA | Transmisión #EnDIRECTO➡📺💻📱 🏀🗑 | Brooklyn Nets vs #GoldenStateWarriors | #Basketball | #FelizMartes |… https://t.co/VsuTt5AgaH,@Miparley,https://pbs.twimg.com/profile_images/674044794579079169/pPPMFxii_normal.jpg,1285,myparley,#Futbol #NBA #MBL #Tenis #Formula1 #Ciclismo #Basquet #Boxeo,Mon Nov 23 03:39:20 +0000 2015,,,-40574149,327,0,https://twitter.com/i/web/status/971221328354213889,EnDIRECTO,GoldenStateWarriors,Basketball,FelizMartes,,,,,,,
BrooklynGrit,Brooklyn Nets,1259618304,"The @BrooklynNets starting Dinwiddie, Russell, Crabbe, Carroll, Allen on Tuesday. #BrooklynGrit #NBA",NBA 📰,https://pbs.twimg.com/profile_images/840806600810012672/3UKdImNU_normal.jpg,1086,BasketballRoto,"Free #NBA news, DFS tools & content.  https://t.co/vfdB1wfxDK",Tue Nov 15 20:37:48 +0000 2016,37.9298239,-122.28178,-1101791232,503,0,,NBA,,,,,,,,,,
,,362098690,Brooklyn Nets Inspired by Trip To Google Headquarters - https://t.co/QeDPgtuBpG https://t.co/u67BxjGVg0… https://t.co/FtWViUxGHy,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,-0.5,http://Brooklynnets.com,,,,,,,,http://dlvr.it/QK1txF,,,https://twitter.com/i/web/status/971217136780652546
wegohard,Joseph Corallo,790056961,RT @NewProduct11: Let’s Goo #wegohard #brooklyngrit @BrooklynNets https://t.co/wba0ghYQDR,Nate,https://pbs.twimg.com/profile_images/967189190944452608/wHsUERqx_normal.jpg,332,NateTheWarlock,"Life's a bitch, than you die.",Sun Oct 20 00:05:42 +0000 2013,42.1629918,-72.5886329,1973279797,320,0,https://twitter.com/brooklynnets/status/971098092018614273,brooklyngrit,,,,,,,,Brooklyn Nets,,
,,-1823096832,Brooklyn Nets Notebook: Insights ahead of game vs. Golden State Warriors - https://t.co/QeDPgtuBpG… https://t.co/7OGCOvUAF4,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,0.25,http://Brooklynnets.com,,,,,,,,https://twitter.com/i/web/status/971160170444210176,,,
BrooklynGrit,,1150603265,DRAFT WATCH #2: The March Madness Mock Draft Viewing Guide - NetsDaily https://t.co/Z1mWJpbeL1 #BrooklynGrit https://t.co/gBtI4uNcdd,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,0,http://dlvr.it/QK0phd,,,,,,,,,,,
TopValuePlays,,-1168674813,"#TopValuePlays
SG: Caris LeVert #Nets #BrooklynGrit
CPP:$188.94
Avg FPS: 24.35
Your Optimized NBA Lineups Are Ready… https://t.co/NR88cVwcuD",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/971148729305755651,Nets,BrooklynGrit,,,,,,,,,
TopValuePlays,,2107027456,"#TopValuePlays
SF: Allen Crabbe #Nets #BrooklynGrit
CPP:$223.13
Avg FPS: 21.96
Get The Advice You Need at MyDFSLine… https://t.co/YS4GvAPCMA",🌟🌟 FantasymAgic 🌟🌟,https://pbs.twimg.com/profile_images/944940481594691589/u5_TRP2V_normal.jpg,2371,jamesabaileyjr,"Dedicated Magic Fan & DFS Grinder
My Passion is to Motivate because You are Successful You are Amazing & You are Focused Now go show the world #YouCanDoIt 👊",Tue Apr 20 03:09:19 +0000 2010,28.6143519,-81.22977,135015396,1447,0,https://twitter.com/i/web/status/971141156259147776,Nets,BrooklynGrit,,,,,,,,,
wegohard,Brooklyn Nets,165105665,Let’s Goo #wegohard #brooklyngrit @BrooklynNets https://t.co/wba0ghYQDR,Joseph Corallo,https://pbs.twimg.com/profile_images/938606209694699524/hwAuSnRE_normal.jpg,702,NewProduct11,Summers Gone ☄️ August 21st,Mon Jan 14 20:10:11 +0000 2013,40.261113,-74.129673,1090035104,338,0,https://twitter.com/brooklynnets/status/971098092018614273,brooklyngrit,,,,,,,,,,
,,1054093312,Brooklyn Nets: Tanks for nothing? The underlying theme of this season - Hoops Habit https://t.co/tutwoJCAUC… https://t.co/f52JbJ1i3x,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,-0.25,http://dlvr.it/QJzXBC,,,,,,,,https://twitter.com/i/web/status/971094477501640704,,,
BrooklynGrit,,164904960,Nets visit Warriors ... who MAY be the NBA's best - NetsDaily https://t.co/DQvGTPC7t6 #BrooklynGrit https://t.co/xcKeQwhFRG,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,0.5,http://dlvr.it/QJzJTf,,,,,,,,,,,
BrooklynGrit,Meer,-1491730430,@NYCMeer Couldn’t be me. #BrooklynGrit,Traitor Joe,https://pbs.twimg.com/profile_images/971182407008313344/KjoInKtD_normal.jpg,3127,joebw11,Bandwagon Nets fan,Thu Feb 12 01:39:19 +0000 2009,40.739446,-73.8333651,20646366,707,0,,,,,,,,,,,,
,,-1865031680,Nets vs Warriors Preview: Curry meets Russell in a potential track meet - Golden State of Mind… https://t.co/zKt8YIBGWG,Brooklyn Nets News,https://pbs.twimg.com/profile_images/805379101175480320/PUffBP0i_normal.jpg,60,BNetsNews,The latest Brooklyn Nets news.,Sun Dec 04 11:50:13 +0000 2016,40.739446,-73.8333651,-2087235582,110,-0.25,https://twitter.com/i/web/status/971019510223331328,,,,,,,,,,,
BROOKLYNGRIT,,-938196990,ball game man fuck you kcp fuck you isaiah thomas fuck you damian pillars FUCK YOU REFS IM TAKIJG MY TALENTS TO BROOKLYN #BROOKLYNGRIT,ʀᴀᴍᴏɴ🍂,https://pbs.twimg.com/profile_images/971997817051869184/-oi0Xw73_normal.jpg,714,kuzxingram,@lakers @dloading @tinydawg 😤,Mon Jan 16 23:30:40 +0000 2017,34.3373061,-118.1552891,206901248,370,0,,,,,,,,,,,,
