hashtags/0,mentions/0,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/id,user/friends,sentient,urls/0,urls/1,user/location/lat,user/location/long,mentions/1,mentions/2,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,mentions/3,mentions/4,hashtags/6,hashtags/7,mentions/5,urls/2
BuzzCity,,1201049601,"I know #BuzzCity wasn’t going anywhere this season, but it’s sad to see such a great player like… https://t.co/8I86VT6XKQ",Jose,https://pbs.twimg.com/profile_images/856846310699388934/6wp56SwD_normal.jpg,90,JmesaSports,"Sports Junkie-Sports Mangement Major- The Latest News Revolving Around The NBA,MLB,NFL,World Of Soccer",Tue Apr 25 12:17:59 +0000 2017,-996749311,1131,-0.5,https://twitter.com/i/web/status/972251099456507905,,41.313297,-72.9202459,,,,,,,,,,,,,
BuzzCity,Will Green,1008168961,@WBGreen Let's Go Hornets! #BuzzCity,Connor McGrath,https://pbs.twimg.com/profile_images/887527471729520640/KxhiSD0R_normal.jpg,615,ConnMan520,Maine's Best Comedian 2017,Sun Nov 01 17:46:08 +0000 2009,86765618,1964,0,,,,,,,,,,,,,,,,,
kumhotirereplay,Charlotte Hornets,-1873309696,RT @hornets: Malik draws in the defense and dishes to Cody for the slam. 🔥🏀🔥 @KumhoTireUSA #kumhotirereplay #BKNatCHA #buzzcity https://t.c…,justin speight,https://pbs.twimg.com/profile_images/3515275307/13a1a0013edebe0e35a6665b7de92ce1_normal.jpeg,39,Jusdamlazy,What you laffin bout,Fri Apr 22 19:56:02 +0000 2011,286331614,157,0,,,,,Kumho Tire USA,,BKNatCHA,buzzcity,,,,,,,,,
BuzzCity,FOX Sports: Hornets,-199827456,"RT @HornetsOnFSSE: .@jasonderulo and @Panthers tight end @gregolsen88 at the Hive checking out the @hornets!

#BuzzCity #KeepPounding #BKNa…",Eric,https://pbs.twimg.com/profile_images/564075726773944321/3k5VVjqk_normal.jpeg,2401,EricTheRed92,"#MUFC,#DFB,#UGA,#BVB,#Ac milan,#Atletico madrid fan.",Fri Jan 16 04:26:29 +0000 2015,-1314274433,3997,0.375,,,71.5388001,-66.885417,Jason Derulo,Carolina Panthers,KeepPounding,,,,,Greg Olsen,Charlotte Hornets,,,,
MichaelJordan,Charlotte Hornets,-967405568,The @hornets Captain @KembaWalker and the Owner #MichaelJordan on the latest cover of #SportsIllustrated together… https://t.co/YLkIcNd6RX,DD,https://pbs.twimg.com/profile_images/850213910980329474/zcCLrGrx_normal.jpg,266,Buzzcity12,Huge sports fan,Thu Oct 14 04:24:59 +0000 2010,202490544,1268,0,https://twitter.com/i/web/status/972243976232275968,,36.5881568,-75.400119,Kemba walker,,SportsIllustrated,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,-1613312000,"""@HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity""",Lion Blu,https://pbs.twimg.com/profile_images/945802335061794816/02Z7jNXs_normal.jpg,4,castaldosilvio2,WWE Triple H,Tue Dec 26 23:42:34 +0000 2017,-1315446784,28,-0.125,,,,,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
,Charlotte Hornets,-506138623,RT @hornets: 🔊@Eryn recaps today's workout and the team's mindset moving forward this season in our latest Hornets Practice Report #BuzzCit…,MikeWX/Sports,https://pbs.twimg.com/profile_images/969895633917157376/uh7fWAGv_normal.jpg,23,Hornetsmike_EN,"Future @Cities_PDX Builder, LIVE Camera View of @earthTV & a Fan of @Hornets, @WeatherChannel and Two Magic Teen Shows plus Go to Space French:@HornetsMikeFRCA",Wed Nov 02 10:14:32 +0000 2016,1402253312,410,-0.25,,,35.39313300000001,-80.670104,Eryn Pittsonberger,,,,,,,,,,,,
BuzzCity,Charlotte Hornets PR,-1877606400,RT @HornetsPR: OFFICIAL: @hornets have transferred two-way player Marcus Paige back to @greensboroswarm of @nbagleague #BuzzCity,Terry Baskin,https://pbs.twimg.com/profile_images/956152801272483840/45URX9U0_normal.jpg,1463,Tbizzle021,"Kingdom Builder, Relentless pursuit of Dominion, & True SEMINOLE & Carolina Panther fan!  #KeepPounding #FeartheSpear#SupportPuertoRico",Thu Nov 25 14:26:45 +0000 2010,219664798,2991,-0.125,,,35.39313300000001,-80.670104,Charlotte Hornets,Greensboro Swarm,,,,,,NBA G League,,,,,
TruetoAtlanta,,1880526849,"#TruetoAtlanta
#Celtics
#BrooklynGrit #BuzzCity
#BullsNation
#DefendTheLand
#MFFL
#MileHighBasketball… https://t.co/1MqKLYzslq",Algernon,https://pbs.twimg.com/profile_images/967061472659505152/yGFd9I8L_normal.jpg,3786,Echelon_Beats,Brother Of NBA 🌟 Ge-Lawn Guyn,Thu Nov 24 03:19:54 +0000 2011,420033070,2166,0,https://twitter.com/i/web/status/972225815663513601,,,,,,Celtics,BrooklynGrit,BuzzCity,BullsNation,DefendTheLand,,,MFFL,MileHighBasketball,,
BuzzCity,Charlotte Hornets PR,-2028482559,RT @HornetsPR: INJURY UPDATE: @hornets Michael Carter-Williams (sprained left shoulder) is QUESTIONABLE to return. #BuzzCity,iamtrendbot,https://pbs.twimg.com/profile_images/798034664392794112/FNM0uM-g_normal.jpg,492,iamtrendbot,"i am a bot from @jonmoshier that retweets trending tweets and hashtags. i have no opinions, i just retweet.",Mon Nov 14 02:58:59 +0000 2016,-967344128,2,0,,,,,Charlotte Hornets,,,,,,,,,,,,
