urls/0,hashtags/0,hashtags/1,mentions/0,mentions/1,mentions/2,id,text,user/nick,user/profile_img,user/followers,user/name,user/description,user/created_at,user/location/lat,user/location/long,user/id,user/friends,sentient,hashtags/2,urls/1,urls/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,mentions/3,mentions/4,mentions/5,hashtags/8,hashtags/9,hashtags/10
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,144142336,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",DaVonte Hughes,https://pbs.twimg.com/profile_images/971044292713205760/P0X_eKJq_normal.jpg,937,CookieByNature,Full time @ATLSPORTSHQ contributor|#JustHawksTalk @ATLHawks_Talk |Graphic Artist| Journalist|MIS Major| UWG WOLF,Mon Jun 20 16:25:40 +0000 2011,35.0006589,-80.751429,320840278,865,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-1122545663,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",⚾️ Marco ™,https://pbs.twimg.com/profile_images/958254742572060672/K4uIJGFj_normal.jpg,615,_TradeMARC,Part of the 5⃣% Don Diez #1️⃣0️⃣ #SavageLifestyle #SU ⚾️,Sun Apr 26 05:38:28 +0000 2009,,,35413098,695,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,-1265352704,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",#GoBraves,https://pbs.twimg.com/profile_images/964622581243375617/XK-7z8-c_normal.jpg,1214,AndrewC_Braves,Braves writer for https://t.co/2q5qSo8rqa,Fri May 24 21:41:35 +0000 2013,,,1455302496,1213,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,1104662529,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",10JoseAlvarezfanaccount,https://pbs.twimg.com/profile_images/971502548199886849/t2-Vn7-3_normal.jpg,253,reevesg55,GT. Falcons. Man city. Atlanta United. Hawks. HI football #68/#50 #FTS #FTP #THWg,Sat Mar 15 02:18:16 +0000 2014,53.5445879,-2.1468288,-1883334673,673,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,1045942272,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Daric Clemens,https://pbs.twimg.com/profile_images/902265672272576512/ulg1Z591_normal.jpg,962,DClemens_,Be Encouraged. Writer for @ATLHawks_Talk & @BirdsInTheBenz & @dn_sports | @ATLSportsHQ Member | @_MichaelaBrooke | BSU'20 | #BlackLivesMatter | RISE OF...,Fri Aug 31 22:19:39 +0000 2012,39.8825888,-84.8138039,794783916,831,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Atlanta Hawks Talk,Elijah (Muggy),Atlanta Hawks,1251463169,"RT @ATLHawks_Talk: Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ @ATLHawks @…",Elijah (Muggy),https://pbs.twimg.com/profile_images/934896539553665030/u3Se9QP1_normal.jpg,1230,lilmuggy,JSU ALUMNUS | @ATLHawks_Talk | Sports | @RedDiamondsMgmt | Battle Rap | BBB,Wed Apr 15 19:45:36 +0000 2009,,,31497116,1524,0,,,,,,,,,,,,,,
http://Atlsportshq.com,TrueToAtlanta,ATLSportsHQ,Elijah (Muggy),,,1947717632,"Postgame video recap (Hawks vs Pacers)

By: @lilmuggy 

https://t.co/PsXGK2mUvT

#TrueToAtlanta #ATLSportsHQ… https://t.co/S4VXxx6HBL",Atlanta Hawks Talk,https://pbs.twimg.com/profile_images/735617767563530241/hlXjwdqT_normal.jpg,1372,ATLHawks_Talk,Atlanta Hawks Talk is Your Homegrown Source for all things #TrueToAtlanta. Podcast series '#ATLSportsHQLive!' Part of the @ATLSportsHQ Network,Sun Aug 30 02:37:08 +0000 2015,33.8876179,-84.289389,-906995344,596,0,,https://twitter.com/i/web/status/972296734230695936,,,,,,,,,,,,
,Hawks,,FOX Sports: Hawks,***Jeff Benedict***,FOX Sports: Hawks,-652824576,RT @HawksOnFSSE: Congrats to @JBen929 for winning a pair of tickets to the #Hawks game on 3/15. Stay tuned...@HawksOnFSSE is giving away mo…,Alan Beasley,https://pbs.twimg.com/profile_images/864173596746371073/5atdJfsc_normal.jpg,103,falconsfan1988,,Thu Feb 11 01:30:27 +0000 2016,32.189996,-81.030166,601635397,189,-0.125,,,,,,,,,,,,,,
,TrueToAtlanta,Pacers,,,,2132205568,"FINAL!
#TrueToAtlanta 87x112 #Pacers

Mike Muscala 
12 PTS, 5 REB, 2 AST
 
Victor Oladipo 
17 PTS, 5 REB, 5 AST",Mid Range Brasil,https://pbs.twimg.com/profile_images/930362769848881152/smJIIhEO_normal.jpg,4643,MidRangeBR,"Em uma luta diária contra o termo ""cabeça do garrafão"" na sociedade brasileira.",Wed Jan 06 18:37:17 +0000 2016,5.2717863,-28.650543,432117839,1003,0,,,,,,,,,,,,,,
https://twitter.com/i/web/status/972295921823252481,Hawks,,***Jeff Benedict***,FOX Sports: Hawks,,1289093121,Congrats to @JBen929 for winning a pair of tickets to the #Hawks game on 3/15. Stay tuned...@HawksOnFSSE is giving… https://t.co/MAVI32Q9w0,FOX Sports: Hawks,https://pbs.twimg.com/profile_images/841685851906154497/ARHL4S5Z_normal.jpg,3258,HawksOnFSSE,"Atlanta Hawks basketball from the FOX Sports Southeast perspective. Friends with Bob, Nique, Andre, Rebecca, Jerome and Stinger. Big fan of FOX Sports GO.",Mon Sep 12 18:41:39 +0000 2016,33.8876179,-84.289389,1628737536,102,-0.125,,,,,,,,,,,,,,
